City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1421,Garowe,SO,76.64,clear sky,8.4054,48.4845,Curubo Hotel
1422,Ban Nahin,LA,88.63,clear sky,18.2418,104.2122,
1423,Mangrol,IN,81.55,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
1425,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
1427,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
1428,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
1429,San Policarpo,PH,87.08,overcast clouds,12.1791,125.5072,Manong Aklan Resort
1430,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
1432,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
1441,Payo,ID,80.33,overcast clouds,-3.7508,103.6372,Mess keban agung
1443,Zhob,PK,75.02,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
1449,Karratha,AU,80.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
1453,Dibulla,CO,79.2,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
1454,Barras,BR,75.29,scattered clouds,-4.2444,-42.2944,Bl2
1455,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1459,Butaritari,KI,83.71,light rain,3.0707,172.7902,Isles Sunset Lodge
1462,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
1464,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
1465,Tura,IN,84.67,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
1466,Wajima,JP,77.68,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
1467,Gladstone,AU,76.78,light rain,-23.85,151.25,Highpoint International
1471,Acajutla,SV,79.9,overcast clouds,13.5928,-89.8275,asi es
1482,Kendari,ID,86.22,broken clouds,-3.945,122.4989,Hotel Wixel
1485,Yeppoon,AU,78.58,few clouds,-23.1333,150.7333,Villa Mar Colina
