City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sisimiut,,66.9395,-53.6735,25.54,49,0,7.05,clear sky
1,Garowe,,8.4054,48.4845,76.64,56,6,17.78,clear sky
2,Ban Nahin,,18.2418,104.2122,88.63,57,7,0.36,clear sky
3,Mangrol,,21.1167,70.1167,81.55,81,94,5.53,overcast clouds
4,Mataura,,-46.1927,168.8643,53.47,34,4,2.06,clear sky
5,Avarua,,-21.2078,-159.775,78.85,69,20,3.44,few clouds
6,Haines Junction,,60.7522,-137.5108,37.35,75,100,4.61,overcast clouds
7,Yulara,,-25.2406,130.9889,87.64,8,95,16.11,overcast clouds
8,Atuona,,-9.8,-139.0333,78.08,73,5,18.81,clear sky
9,San Policarpo,,12.1791,125.5072,87.08,63,99,3.94,overcast clouds
10,Lamu,,-2.2717,40.902,77.22,80,9,14.12,clear sky
11,Nanortalik,,60.1432,-45.2371,36.91,79,8,3.56,clear sky
12,Porto Novo,,6.4965,2.6036,76.82,90,99,2.8,overcast clouds
13,Jamestown,,42.097,-79.2353,63.72,84,75,1.99,broken clouds
14,Castro,,-24.7911,-50.0119,61.03,83,1,5.57,clear sky
15,Dikson,,73.5069,80.5464,35.53,86,76,24.67,broken clouds
16,Codrington,,-38.2667,141.9667,64.2,53,13,12.41,few clouds
17,Arraial Do Cabo,,-22.9661,-42.0278,71.08,87,86,22.15,overcast clouds
18,Aksu,,41.1231,80.2644,70.5,20,0,1.1,clear sky
19,Bredasdorp,,-34.5322,20.0403,56.52,88,39,1.14,scattered clouds
20,Busselton,,-33.65,115.3333,63.09,75,64,12.41,broken clouds
21,Payo,,-3.7508,103.6372,80.33,84,91,1.7,overcast clouds
22,Leningradskiy,,69.3833,178.4167,29.75,79,100,6.31,overcast clouds
23,Zhob,,31.3411,69.4481,75.02,56,0,1.83,clear sky
24,Edinet,,48.1681,27.305,53.42,74,62,5.64,light rain
25,Zalari,,53.5584,102.5065,43.7,47,77,5.08,broken clouds
26,Punta Arenas,,-53.15,-70.9167,41.11,81,0,12.66,clear sky
27,Ushuaia,,-54.8,-68.3,38.86,70,0,1.14,clear sky
28,Baixa Grande,,-11.9597,-40.1681,67.05,96,25,5.93,scattered clouds
29,Karratha,,-20.7377,116.8463,80.94,25,5,10.96,clear sky
30,East London,,-33.0153,27.9116,66.04,80,80,18.12,broken clouds
31,Albany,,42.6001,-73.9662,55.58,87,6,5.21,clear sky
32,Vila Velha,,-20.3297,-40.2925,73.35,78,75,4.61,broken clouds
33,Dibulla,,11.2725,-73.3091,79.2,88,41,5.19,scattered clouds
34,Barras,,-4.2444,-42.2944,75.29,82,49,5.68,scattered clouds
35,Kapaa,,22.0752,-159.319,84.18,75,40,7.0,light rain
36,Asau,,46.4333,26.4,54.52,92,1,1.9,light rain
37,Tarbes,,43.25,0.1667,64.26,94,0,4.61,clear sky
38,Takoradi,,4.8845,-1.7554,73.85,93,99,7.94,overcast clouds
39,Butaritari,,3.0707,172.7902,83.71,73,91,13.91,light rain
40,New Richmond,,45.123,-92.5366,69.26,88,1,0.0,clear sky
41,Shubarkuduk,,49.1447,56.4872,54.18,65,100,9.48,overcast clouds
42,Vaini,,-21.2,-175.2,77.16,78,75,5.75,broken clouds
43,Saint-Philippe,,-21.3585,55.7679,69.39,87,83,16.04,light rain
44,Georgetown,,5.4112,100.3354,84.13,76,20,1.01,few clouds
45,Tura,,25.5198,90.2201,84.67,72,10,1.39,clear sky
46,Wajima,,37.4,136.9,77.68,73,40,6.91,scattered clouds
47,Gladstone,,-23.85,151.25,76.78,60,75,19.57,light rain
48,Port Elizabeth,,-33.918,25.5701,62.89,94,0,12.66,clear sky
49,Belyy Yar,,53.6039,91.3903,37.29,70,40,8.95,scattered clouds
50,Narsaq,,60.9167,-46.05,30.42,48,0,6.87,clear sky
51,Acajutla,,13.5928,-89.8275,79.9,84,99,3.85,overcast clouds
52,Deyang,,31.1302,104.382,72.9,88,100,3.38,overcast clouds
53,Iqaluit,,63.7506,-68.5145,35.33,80,75,15.99,broken clouds
54,Chuy,,-33.6971,-53.4616,56.73,94,8,5.06,clear sky
55,Pisco,,-13.7,-76.2167,60.85,82,40,2.3,scattered clouds
56,Niteroi,,-22.8833,-43.1036,73.58,84,0,5.75,clear sky
57,Rikitea,,-23.1203,-134.9692,73.65,72,33,19.6,scattered clouds
58,Provideniya,,64.3833,-173.3,41.11,56,0,6.71,clear sky
59,Abrau-Dyurso,,44.69,37.59,60.26,76,56,8.23,broken clouds
60,Margate,,51.3813,1.3862,64.11,98,89,15.5,overcast clouds
61,Rodrigues Alves,,-7.738,-72.6509,74.62,81,10,2.37,clear sky
62,Salinas,,36.6777,-121.6555,65.23,76,90,10.36,overcast clouds
63,Kendari,,-3.945,122.4989,86.22,56,72,5.32,broken clouds
64,New Norfolk,,-42.7826,147.0587,58.75,35,50,4.25,scattered clouds
65,Puerto Ayora,,-0.7393,-90.3518,69.22,90,87,6.91,overcast clouds
66,Yeppoon,,-23.1333,150.7333,78.58,58,17,16.4,few clouds
67,Hermanus,,-34.4187,19.2345,57.9,90,45,2.64,scattered clouds
68,Qaanaaq,,77.484,-69.3632,19.8,59,85,8.52,overcast clouds
69,Price,,39.5994,-110.8107,70.86,28,1,6.91,clear sky
70,Lensk,,60.7253,114.9278,34.43,100,100,6.26,moderate rain
71,Arya,,33.6,73.0667,80.24,78,0,4.29,clear sky
72,Barrow,,71.2906,-156.7887,23.02,80,1,14.97,clear sky
73,Bam,,29.106,58.357,80.29,9,0,10.42,clear sky
74,Port Keats,,-14.25,129.55,87.69,54,14,11.77,few clouds
75,Hithadhoo,,-0.6,73.0833,82.4,74,100,15.9,overcast clouds
